,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,N,P,K
97,kerala,thrissur,1.4,0.0,43.6,12.9,175.7,674.8,419.3,427.2,354.7,188.0,113.0,15.5,M,M,M
98,bihar,khagaria,0.0,0.0,4.3,29.1,51.7,132.4,331.7,179.4,103.9,100.7,0.0,0.0,M,M,M
99,andhra pradesh,khammam,0.0,0.0,16.1,0.8,58.4,258.0,231.9,275.9,115.0,72.0,0.7,0.0,L,L,H
100,assam,kokrajhar,0.0,0.2,89.9,412.2,374.6,505.7,586.9,1196.4,661.0,312.3,0.2,0.0,L,M,L
101,andhra pradesh,krishna,0.0,0.0,8.4,0.4,25.1,176.6,217.6,210.4,101.4,111.2,15.6,1.0,L,L,H
102,andhra pradesh,kurnool,0.0,0.0,13.9,8.9,24.8,109.2,57.8,176.3,176.5,175.4,1.1,0.0,L,L,H
103,assam,lakhimpur,6.5,44.9,76.0,347.6,359.9,505.9,931.5,420.0,518.6,345.2,17.7,0.3,M,M,M
104,bihar,lakhisarai,0.0,0.0,0.0,0.0,29.1,92.7,296.4,224.4,114.2,130.9,0.0,0.0,L,M,M
105,bihar,madhepura,0.0,0.0,59.5,28.2,128.5,143.6,408.2,246.9,120.5,61.7,0.0,0.0,L,L,L
106,bihar,madhubani,0.3,0.0,27.5,53.7,126.3,98.6,416.2,471.0,132.9,7.2,0.0,0.0,M,M,L
107,madhya pradesh,anuppur,1.2,12.6,2.0,0.0,2.1,169.5,236.8,357.2,129.3,24.2,0.0,0.0,M,M,L
108,madhya pradesh,balaghat,7.7,2.8,0.9,0.0,7.3,105.8,290.4,263.6,187.5,49.4,0.0,0.0,M,M,M
109,madhya pradesh,betul,1.2,5.9,0.6,0.0,0.0,122.1,293.5,133.0,180.1,71.4,0.2,0.0,M,L,L
110,madhya pradesh,bhind,27.9,0.0,0.5,0.0,10.7,69.4,184.4,89.9,102.2,0.0,0.0,7.8,L,L,H
111,madhya pradesh,bhopal,3.4,2.8,1.0,0.0,17.6,102.9,334.5,126.2,217.4,0.0,0.0,0.2,M,M,H
112,madhya pradesh,burhanpur,3.1,1.7,0.0,0.0,0.0,150.6,244.2,203.7,252.3,55.8,0.0,0.0,M,M,H
113,madhya pradesh,chhindwara,9.0,5.6,0.0,0.0,23.0,130.4,246.3,197.5,196.1,67.3,7.8,0.0,M,M,H
114,madhya pradesh,damoh,2.5,6.5,2.5,0.0,6.0,136.0,341.8,74.0,156.5,1.0,0.0,0.0,M,L,M
115,madhya pradesh,dewas,0.7,0.0,0.0,0.0,6.0,147.7,244.0,198.3,207.8,5.7,0.0,0.0,M,L,H
116,madhya pradesh,dhar,0.1,0.0,0.0,0.0,3.6,140.7,238.0,221.3,141.6,12.6,0.0,3.9,M,M,L
117,madhya pradesh,dindori,8.0,4.0,0.0,0.0,0.0,106.5,376.5,254.7,109.5,55.6,0.0,0.0,M,H,M
118,madhya pradesh,guna,6.0,7.7,9.7,0.0,5.0,126.4,372.1,125.8,154.2,1.0,0.0,0.5,H,H,M
119,madhya pradesh,gwalior,30.1,0.0,5.0,0.1,19.0,74.9,109.3,305.7,82.2,0.0,0.0,5.5,L,L,L
120,madhya pradesh,harda,0.0,6.0,0.0,0.0,0.0,95.8,301.1,111.1,152.0,9.9,0.0,0.0,M,M,M
121,madhya pradesh,hoshangabad,1.7,8.8,0.0,0.0,9.1,82.4,474.2,294.7,160.0,13.1,0.0,0.0,H,H,H
122,madhya pradesh,indore,0.0,0.0,0.0,0.0,1.7,142.1,270.2,220.5,140.9,0.9,0.0,0.7,L,M,H
123,madhya pradesh,jabalpur,8.2,20.2,3.8,0.0,21.9,127.1,364.9,206.9,139.3,10.2,0.0,0.0,L,L,M
124,madhya pradesh,jhabua,0.0,0.0,0.0,0.0,0.5,114.8,424.9,145.3,153.0,3.4,0.0,3.7,M,L,H
125,madhya pradesh,katni,6.0,3.0,5.0,0.0,9.3,120.3,669.3,178.4,122.5,2.0,0.0,0.0,M,L,M
126,madhya pradesh,khandwa,0.0,0.0,0.0,0.0,1.7,148.7,351.5,256.3,186.3,33.3,0.0,0.0,M,M,H
127,madhya pradesh,khargone,0.0,0.0,0.0,0.2,0.0,102.3,274.5,207.1,136.3,54.9,0.0,0.3,M,M,H
