,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
261,bihar,madhubani,0.3,0.0,27.5,53.7,126.3,98.6,416.2,471.0,132.9,7.2,0.0,0.0
262,madhya pradesh,agar-malwa,0.3,0.0,0.0,0.0,0.1,107.9,309.9,201.8,195.0,0.0,0.0,0.5
263,madhya pradesh,alirapur,0.0,0.0,0.0,0.0,0.0,144.4,357.7,193.9,62.8,12.8,0.0,15.7
264,madhya pradesh,anuppur,1.2,12.6,2.0,0.0,2.1,169.5,236.8,357.2,129.3,24.2,0.0,0.0
265,madhya pradesh,ashoknagar,1.8,0.0,6.3,0.0,34.5,182.0,194.0,153.5,277.3,0.0,0.0,0.0
266,madhya pradesh,balaghat,7.7,2.8,0.9,0.0,7.3,105.8,290.4,263.6,187.5,49.4,0.0,0.0
267,madhya pradesh,barwani,0.0,0.0,0.0,0.0,0.0,124.2,234.6,152.8,110.3,12.9,0.0,11.0
268,madhya pradesh,betul,1.2,5.9,0.6,0.0,0.0,122.1,293.5,133.0,180.1,71.4,0.2,0.0
269,madhya pradesh,bhind,27.9,0.0,0.5,0.0,10.7,69.4,184.4,89.9,102.2,0.0,0.0,7.8
270,madhya pradesh,bhopal,3.4,2.8,1.0,0.0,17.6,102.9,334.5,126.2,217.4,0.0,0.0,0.2
271,madhya pradesh,burhanpur,3.1,1.7,0.0,0.0,0.0,150.6,244.2,203.7,252.3,55.8,0.0,0.0
272,madhya pradesh,chhatarpur,0.3,1.4,1.0,0.0,4.7,83.9,329.5,133.3,122.7,0.0,0.0,0.0
273,madhya pradesh,chhindwara,9.0,5.6,0.0,0.0,23.0,130.4,246.3,197.5,196.1,67.3,7.8,0.0
274,madhya pradesh,damoh,2.5,6.5,2.5,0.0,6.0,136.0,341.8,74.0,156.5,1.0,0.0,0.0
275,madhya pradesh,datia,26.8,0.0,1.1,0.0,27.1,101.1,230.9,96.6,101.3,0.0,0.0,1.0
276,madhya pradesh,dewas,0.7,0.0,0.0,0.0,6.0,147.7,244.0,198.3,207.8,5.7,0.0,0.0
277,madhya pradesh,dhar,0.1,0.0,0.0,0.0,3.6,140.7,238.0,221.3,141.6,12.6,0.0,3.9
278,madhya pradesh,dindori,8.0,4.0,0.0,0.0,0.0,106.5,376.5,254.7,109.5,55.6,0.0,0.0
279,madhya pradesh,guna,6.0,7.7,9.7,0.0,5.0,126.4,372.1,125.8,154.2,1.0,0.0,0.5
280,madhya pradesh,gwalior,30.1,0.0,5.0,0.1,19.0,74.9,109.3,305.7,82.2,0.0,0.0,5.5
281,madhya pradesh,harda,0.0,6.0,0.0,0.0,0.0,95.8,301.1,111.1,152.0,9.9,0.0,0.0
282,madhya pradesh,hoshangabad,1.7,8.8,0.0,0.0,9.1,82.4,474.2,294.7,160.0,13.1,0.0,0.0
283,madhya pradesh,indore,0.0,0.0,0.0,0.0,1.7,142.1,270.2,220.5,140.9,0.9,0.0,0.7
284,madhya pradesh,jabalpur,8.2,20.2,3.8,0.0,21.9,127.1,364.9,206.9,139.3,10.2,0.0,0.0
285,madhya pradesh,jhabua,0.0,0.0,0.0,0.0,0.5,114.8,424.9,145.3,153.0,3.4,0.0,3.7
286,madhya pradesh,katni,6.0,3.0,5.0,0.0,9.3,120.3,669.3,178.4,122.5,2.0,0.0,0.0
287,madhya pradesh,khandwa,0.0,0.0,0.0,0.0,1.7,148.7,351.5,256.3,186.3,33.3,0.0,0.0
288,madhya pradesh,khargone,0.0,0.0,0.0,0.2,0.0,102.3,274.5,207.1,136.3,54.9,0.0,0.3
289,madhya pradesh,mandla,3.0,6.8,0.3,0.0,13.0,143.2,370.5,191.9,199.7,15.7,0.0,0.0
290,madhya pradesh,mandsaur,0.5,0.0,0.0,0.0,5.3,89.7,362.5,129.6,80.7,0.0,0.0,0.5
291,madhya pradesh,morena,20.3,0.0,6.6,0.0,10.8,69.3,164.3,140.3,72.1,0.0,0.0,9.0
292,madhya pradesh,narsinghpur,0.6,13.6,0.2,0.0,14.2,113.0,296.6,132.6,186.0,20.2,0.0,0.0
293,madhya pradesh,neemuch,1.3,0.0,0.7,0.0,0.0,121.8,386.2,182.3,107.0,0.0,0.0,1.7
294,madhya pradesh,panna,1.0,3.8,0.0,0.0,10.6,50.1,478.8,226.1,87.0,0.0,0.0,0.0
295,madhya pradesh,raisen,2.8,10.0,0.9,0.0,11.4,181.6,384.3,132.8,183.7,11.9,8.0,0.0
296,madhya pradesh,rajgarh,0.0,0.4,0.4,0.0,6.8,114.8,430.7,161.8,119.7,5.4,0.0,0.6
297,madhya pradesh,ratlam,0.0,0.0,0.0,0.0,2.4,114.6,418.1,319.7,119.3,1.7,0.0,2.0
298,madhya pradesh,rewa,4.6,4.2,0.0,0.0,3.1,131.0,551.2,126.1,71.4,0.0,0.0,0.0
299,madhya pradesh,sagar,0.8,11.6,1.1,0.0,11.1,149.8,353.0,126.1,219.3,11.3,0.0,0.0
300,madhya pradesh,satna,2.4,3.2,3.2,0.0,1.5,102.8,422.6,132.6,71.0,3.9,0.0,0.0
301,madhya pradesh,sehore,1.7,1.6,0.0,0.0,5.1,162.9,321.0,218.7,189.8,4.6,0.0,0.0
302,madhya pradesh,seoni,6.5,9.5,0.0,0.0,19.5,177.5,329.2,167.6,173.0,24.2,0.3,0.0
303,madhya pradesh,shahdol,6.0,7.0,6.0,0.0,1.0,101.2,167.3,360.8,69.2,25.0,0.0,0.0
304,madhya pradesh,shajapur,0.0,0.0,0.0,0.0,3.2,147.5,236.0,90.8,174.7,9.0,1.3,0.7
305,madhya pradesh,sheopur,5.8,0.0,10.6,0.0,8.5,60.0,145.5,157.0,42.1,0.0,0.0,6.5
306,madhya pradesh,shivpuri,19.5,0.0,1.3,0.0,3.3,87.4,144.0,95.9,170.0,0.0,0.0,1.8
307,madhya pradesh,sidhi,8.2,2.0,1.4,0.0,8.4,62.2,439.4,153.4,67.4,5.6,0.0,0.0
308,madhya pradesh,singrauli,6.0,7.3,7.5,0.0,24.0,97.7,368.8,126.0,218.0,11.6,0.0,0.0
309,madhya pradesh,tikamgarh,1.5,3.0,9.5,0.0,0.5,148.5,213.5,106.0,116.5,0.0,0.0,0.0
310,madhya pradesh,ujjain,0.0,0.0,0.0,4.0,26.2,102.0,323.1,203.1,146.3,5.4,0.0,4.0
311,madhya pradesh,umaria,10.5,10.2,3.4,0.0,42.4,91.4,357.6,140.3,67.8,5.0,0.0,0.0
312,madhya pradesh,vidisha,0.2,3.9,0.0,0.0,8.4,154.8,335.6,110.2,191.6,7.2,0.0,0.0
313,maharashtra,ahmednagar,0.0,0.0,0.0,0.0,8.9,177.0,80.5,225.2,190.5,111.6,0.4,0.3
314,maharashtra,akola,0.0,0.0,0.1,0.0,0.0,125.2,168.0,156.2,98.7,86.5,0.0,0.0
315,maharashtra,amraoti,0.0,0.0,0.0,0.0,3.2,103.1,190.3,150.2,109.1,58.7,2.3,0.0
316,maharashtra,aurangabad_mh,0.0,0.0,0.0,0.0,1.3,137.6,79.8,157.2,176.9,105.3,0.4,0.2
317,maharashtra,beed,0.0,0.0,5.7,0.0,2.9,169.1,76.7,237.0,154.6,112.0,0.0,12.7
318,maharashtra,bhandara,0.6,0.0,10.1,0.0,13.6,111.5,304.2,293.7,117.0,51.5,0.0,0.0
319,maharashtra,buldhana,0.3,0.0,1.2,0.0,0.0,179.3,144.9,155.9,176.6,56.8,0.4,0.0
320,maharashtra,chandrapur,0.0,0.0,23.5,0.0,15.5,133.0,308.1,183.9,143.4,50.1,0.0,0.0
321,maharashtra,dhule,0.0,0.0,0.0,0.0,0.0,108.3,135.8,162.9,105.6,76.0,0.0,14.3
322,maharashtra,gadchiroli,0.0,0.0,15.4,0.0,4.8,136.1,467.4,259.9,152.4,67.7,0.0,0.0
323,maharashtra,gondia,2.1,0.5,6.3,0.0,18.2,108.3,333.4,240.9,97.6,48.9,0.0,0.0
